Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Henrique Araújo,pt POR,FW,19,4,1,122,1.4,3,0,3,3,0,0,0,0,2.9,2.9,0.1,3,1,2,11,2.21,0,2.21,2.21,2.21,1.98,0.09,2.07,1.98,2.07,Matches,353eb529
Tomás Araújo,pt POR,DF,19,3,1,96,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,3,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches,0fa11d7d
Tiago Gouveia,pt POR,FWMF,20,2,1,86,1,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,5,3,11,0,1.05,1.05,0,1.05,0.17,0.23,0.4,0.17,0.4,Matches,68cf59f0
Rodrigo Pinho,br BRA,FW,30,3,1,84,0.9,1,0,1,1,0,0,0,0,0.1,0.1,0,0.1,2,3,6,1.07,0,1.07,1.07,1.07,0.12,0,0.12,0.12,0.12,Matches,5db20508
Gedson Fernandes,pt POR,MF,22,3,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,e2dde94c
Diego Moreira,pt POR,FW,16,1,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,2,4,0,0,0,0,0,0.51,0.3,0.81,0.51,0.81,Matches,12de1b0d
Martim Carvalho,pt POR,MF,18,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0.3,0.3,2,5,0,0,0,0,0,0,0,1.36,1.36,0,1.36,Matches,f98c4f0a
Carlos Vinícius,br BRA,FW,26,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,8b529245
Leo Brian Kokubo,jp JPN,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,ac83bce2
Rafael Brito,pt POR,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,447390cc
Francisco Reis Ferreira,pt POR,DF,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,4b3c863f
Mile Svilar,rs SRB,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,bcf5058a
